First Name,Middle Name,Last Name,Birth Date,Gender,Religion,Reason,Special Needs,Special Needs Specific,School Year,Grade Level,Enrollment Type,Former School Name,Former School Address,Former Registrar,Former Registrar Email,Former Registrar Number,Program,Cottage Type,Accreditation,Payment Type,Payment Method,Discount Code,Month Index,Account Email,Primary Guardian Name,Primary Guardian Occupation,Primary Guardian Type,Primary Guardian Profile,Secondary Guardian Name,Secondary Guardian Occupation,Secondary Guardian Type,Secondary Guardian Profile,Mobile Number,Telephone Number,Another Email,Address Line 1,Address Line 2,Student Address 1,Student Address 2,Primary Teacher Name,Primary Teacher Age,Primary Teacher Relationship,Primary Teacher Profile,Primary Teacher Education
Juan,Cruz,Dela Cruz,2015-05-20,MALE,ROMAN_CATHOLIC,Personalized learning,NO,,2024-2025,GRADE_1,NEW,Sample Elementary School,123 School St Manila,Maria Santos,registrar@school.com,+639171234567,HOMESCHOOL_PROGRAM,,LOCAL,Full Payment,Online Banking,,,parent1@example.com,Maria Dela Cruz,Teacher,MOTHER,https://facebook.com/maria,Pedro Dela Cruz,Engineer,FATHER,https://facebook.com/pedro,+639171234567,(02) 1234-5678,secondary1@example.com,123 Main St Barangay,Manila City 1234,,,Maria Dela Cruz,35,Mother,https://facebook.com/maria,College Graduate
Ana,Marie,Santos,2016-08-15,FEMALE,BORN_AGAIN_CHRISTIAN,Biblical worldview,YES,ADHD,2024-2025,K2,CONTINUING,Living Pupil Homeschool,N/A,N/A,N/A,N/A,HOMESCHOOL_COTTAGE,THREE_DAYS_A_WEEK,LOCAL,Full Payment,Online Banking,,,parent2@example.com,Rosa Santos,Nurse,MOTHER,https://facebook.com/rosa,Jose Santos,Driver,FATHER,https://facebook.com/jose,+639181234567,(02) 2345-6789,secondary2@example.com,456 Oak St Barangay,Quezon City 1100,,,Rosa Santos,32,Mother,https://facebook.com/rosa,Nursing Degree
Pedro,Luis,Garcia,2014-12-01,MALE,MUSLIM,Islamic values,NO,,2025-2026,GRADE_3,NEW,Saint Mary School,789 Pine Ave Makati,John Reyes,john.reyes@school.edu.ph,+639191234567,HOMESCHOOL_PROGRAM,,INTERNATIONAL,Full Payment,Online Banking,,,parent3@example.com,Fatima Garcia,Businesswoman,MOTHER,https://facebook.com/fatima,Ahmed Garcia,IT Professional,FATHER,https://facebook.com/ahmed,+639201234567,(02) 3456-7890,secondary3@example.com,789 Maple Dr Subdivision,Makati City 1200,,,Fatima Garcia,38,Mother,https://facebook.com/fatima,MBA Degree
Maria,Isabel,Rodriguez,2013-03-22,FEMALE,IGLESIA_NI_CRISTO,Religious education,NO,,2024-2025,GRADE_4,NEW,Hope Academy,321 Cedar Ln Pasig,Sarah Lee,sarah.lee@hopeacademy.ph,+639211234567,HOMESCHOOL_COTTAGE,FIVE_DAYS_A_WEEK,DUAL,Three (3) Term Payment,Over-the-Counter Banking,,,parent4@example.com,Carmen Rodriguez,Accountant,MOTHER,https://facebook.com/carmen,Roberto Rodriguez,Manager,FATHER,https://facebook.com/roberto,+639221234567,(02) 4567-8901,secondary4@example.com,321 Birch St Village,Pasig City 1600,,,Carmen Rodriguez,40,Mother,https://facebook.com/carmen,CPA License
Carlos,Miguel,Reyes,2012-07-10,MALE,ROMAN_CATHOLIC,Safe learning environment,NO,,2024-2025,GRADE_6,CONTINUING,Living Pupil Homeschool,N/A,N/A,N/A,N/A,HOMESCHOOL_PROGRAM,,LOCAL,Full Payment,Online Banking,,,parent5@example.com,Linda Reyes,Pharmacist,MOTHER,https://facebook.com/linda,Miguel Reyes,Salesman,FATHER,https://facebook.com/miguel,+639231234567,(02) 5678-9012,secondary5@example.com,654 Elm St Complex,Taguig City 1630,,,Linda Reyes,42,Mother,https://facebook.com/linda,Pharmacy Degree
Lucas,Emmanuel,Bautista,2015-01-12,MALE,SEVENT_DAY_ADVENTIST,Sabbath observance,NO,,2025-2026,GRADE_2,NEW,Adventist Academy,Adventist Rd Laguna,Ruth Adams,ruth@academy.edu.ph,+639381234567,HOMESCHOOL_PROGRAM,,LOCAL,Four (4) Term Payment,Payment Centers,,,parent6@example.com,Ruth Bautista,Dietitian,MOTHER,https://facebook.com/ruth,Emmanuel Bautista,Pastor,FATHER,https://facebook.com/emmanuelbautista,+639391234567,(049) 234-5678,secondary6@example.com,Church Rd,Laguna Province,,,Ruth Bautista,39,Mother,https://facebook.com/ruth,Nutrition Degree
Sophia,Angela,Aquino,2014-10-08,FEMALE,LATTER_DAY_SAINTS_MORMONS,LDS curriculum,NO,,2024-2025,GRADE_5,NEW,Saints School,Saints Way Rizal,Paul White,paul@saints.edu.ph,+639401234567,HOMESCHOOL_PROGRAM,,INTERNATIONAL,Full Payment,Online Banking,,,parent7@example.com,Angela Aquino,Librarian,MOTHER,https://facebook.com/angela2,Paul Aquino,Professor,FATHER,https://facebook.com/paulaquino,+639411234567,(02) 3456-7891,secondary7@example.com,Library Ln,Rizal Province,,,Angela Aquino,43,Mother,https://facebook.com/angela2,Library Science Degree
Emma,Joy,Castro,2016-06-25,FEMALE,ROMAN_CATHOLIC,Homeschool benefits,NO,,2024-2025,K1,NEW,Holy Family School,Family St Cavite,Holy Secretary,holy@school.com,+639361234567,HOMESCHOOL_PROGRAM,,LOCAL,Full Payment,Online Banking,,,parent8@example.com,Joyce Castro,Cashier,MOTHER,https://facebook.com/joyce,Edgar Castro,Farmer,FATHER,https://facebook.com/edgar,+639371234567,(046) 123-4567,secondary8@example.com,Farm Rd,Cavite City,,,Joyce Castro,31,Mother,https://facebook.com/joyce,High School Graduate
Gabriel,James,Martinez,2017-04-05,MALE,ROMAN_CATHOLIC,Christian education,NO,,2024-2025,PRESCHOOL,NEW,Little Angels School,Angels Ave Muntinlupa,Angel Admin,admin@littleangels.edu.ph,+639421234567,HOMESCHOOL_PROGRAM,,LOCAL,Nine (9) Term Payment,Online Banking,,,parent9@example.com,Jessica Martinez,Midwife,MOTHER,https://facebook.com/jessica,David Martinez,Mechanic,FATHER,https://facebook.com/david,+639431234567,(02) 0123-4567,secondary9@example.com,Mechanic Rd,Muntinlupa City,,,Jessica Martinez,29,Mother,https://facebook.com/jessica,Midwifery Degree
Daniel,Joseph,Flores,2014-09-18,MALE,ROMAN_CATHOLIC,Better education,NO,,2024-2025,GRADE_3,NEW,Sacred Heart School,Heart St Las Pinas,Sacred Admin,admin@sacredheart.edu.ph,+639341234567,HOMESCHOOL_PROGRAM,,LOCAL,Full Payment,Online Banking,,,parent10@example.com,Jennifer Flores,Social Worker,MOTHER,https://facebook.com/jennifer,Daniel Flores Sr,Security Guard,FATHER,https://facebook.com/danielsr,+639351234567,(02) 1234-5670,secondary10@example.com,Security Ave,Las Pinas City,,,Jennifer Flores,37,Mother,https://facebook.com/jennifer,Social Work Degree
